year,gp,driver,sector_id
2025,Australian Grand Prix,SAI,9
2025,Australian Grand Prix,NOR,9
2024,Chinese Grand Prix,TSU,6
2024,Chinese Grand Prix,ZHO,4
2025,Chinese Grand Prix,SAI,3
2024,Chinese Grand Prix,PIA,3
2025,Chinese Grand Prix,HUL,6
2024,Chinese Grand Prix,ALO,4
2025,Chinese Grand Prix,LEC,11
2025,Belgian Grand Prix,BEA,1
2024,Belgian Grand Prix,VER,9
2025,Belgian Grand Prix,ANT,5
2025,Belgian Grand Prix,VER,1
2024,Belgian Grand Prix,ALB,11
2025,Belgian Grand Prix,ALO,11
2025,Saudi Arabian Grand Prix,BEA,25
2024,Saudi Arabian Grand Prix,OCO,25
2025,Saudi Arabian Grand Prix,HAD,2
2024,Saudi Arabian Grand Prix,BEA,2
2024,Saudi Arabian Grand Prix,OCO,2
2024,Saudi Arabian Grand Prix,OCO,11
2025,Las Vegas Grand Prix,SAI,5
2024,Las Vegas Grand Prix,TSU,4
2025,Las Vegas Grand Prix,COL,1
2025,Las Vegas Grand Prix,HAD,4
2024,Las Vegas Grand Prix,TSU,10
2025,Las Vegas Grand Prix,VER,5
2024,Dutch Grand Prix,STR,4
2025,Dutch Grand Prix,SAI,3
2024,Dutch Grand Prix,ALO,4
2025,Dutch Grand Prix,LAW,1
2025,Dutch Grand Prix,HUL,1
2024,Dutch Grand Prix,HUL,4
2024,Hungarian Grand Prix,SAR,11
2025,Hungarian Grand Prix,COL,11
2025,Hungarian Grand Prix,ANT,11
2024,Hungarian Grand Prix,RIC,11
2025,Hungarian Grand Prix,LAW,1
2024,Emilia Romagna Grand Prix,ALO,10
2024,Emilia Romagna Grand Prix,LEC,16
2024,Emilia Romagna Grand Prix,SAR,2
2024,Emilia Romagna Grand Prix,LEC,4
2025,Emilia Romagna Grand Prix,HAD,8
2024,Abu Dhabi Grand Prix,TSU,4
2025,Abu Dhabi Grand Prix,LAW,4
2025,Abu Dhabi Grand Prix,LAW,3
2024,Abu Dhabi Grand Prix,VER,4
2024,Abu Dhabi Grand Prix,SAI,7
2024,Monaco Grand Prix,HAM,16
2024,Monaco Grand Prix,HAM,6
2024,Monaco Grand Prix,GAS,6
2024,Monaco Grand Prix,VER,16
2025,Monaco Grand Prix,NOR,4
2024,Bahrain Grand Prix,HAM,3
2025,Bahrain Grand Prix,STR,11
2025,Bahrain Grand Prix,NOR,6
2025,Bahrain Grand Prix,LEC,6
2024,Bahrain Grand Prix,HAM,11
2024,São Paulo Grand Prix,TSU,6
2025,São Paulo Grand Prix,VER,10
2024,São Paulo Grand Prix,PIA,12
2024,São Paulo Grand Prix,TSU,8
2024,São Paulo Grand Prix,PER,8
2025,United States Grand Prix,RUS,9
2024,United States Grand Prix,ZHO,9
2024,United States Grand Prix,VER,10
2025,United States Grand Prix,PIA,9
2025,United States Grand Prix,BOR,17
2024,Australian Grand Prix,ZHO,8
2025,Australian Grand Prix,DOO,6
2024,Australian Grand Prix,STR,12
2024,Australian Grand Prix,HAM,3
2025,Australian Grand Prix,SAI,3
2025,Mexico City Grand Prix,HAM,14
2025,Mexico City Grand Prix,SAI,4
2025,Mexico City Grand Prix,PIA,11
2025,Mexico City Grand Prix,HAD,14
2025,Mexico City Grand Prix,BOR,14
2025,Saudi Arabian Grand Prix,HAD,20
2024,Saudi Arabian Grand Prix,RIC,19
2025,Saudi Arabian Grand Prix,ANT,18
2025,Saudi Arabian Grand Prix,OCO,19
2024,Saudi Arabian Grand Prix,BEA,16
2025,Austrian Grand Prix,STR,8
2025,Austrian Grand Prix,ANT,6
2024,Austrian Grand Prix,HUL,8
2025,Austrian Grand Prix,OCO,8
2024,Austrian Grand Prix,HUL,3
2025,Belgian Grand Prix,HAD,7
2025,Belgian Grand Prix,NOR,12
2025,Belgian Grand Prix,RUS,15
2024,Belgian Grand Prix,VER,7
2025,Belgian Grand Prix,OCO,7
2025,São Paulo Grand Prix,TSU,10
2025,São Paulo Grand Prix,LEC,2
2024,São Paulo Grand Prix,ALB,4
2024,São Paulo Grand Prix,LEC,4
2024,São Paulo Grand Prix,VER,13
2025,Azerbaijan Grand Prix,SAI,9
2024,Azerbaijan Grand Prix,SAI,17
2025,Azerbaijan Grand Prix,ANT,18
2025,Azerbaijan Grand Prix,STR,18
2024,Japanese Grand Prix,TSU,5
2025,Japanese Grand Prix,SAI,14
2024,Japanese Grand Prix,MAG,1
2024,Japanese Grand Prix,MAG,5
2024,Singapore Grand Prix,HAM,1
2024,Singapore Grand Prix,MAG,9
2025,Singapore Grand Prix,OCO,9
2024,Singapore Grand Prix,COL,9
2024,Monaco Grand Prix,VER,2
2024,Monaco Grand Prix,NOR,11
2025,Monaco Grand Prix,GAS,11
2025,Monaco Grand Prix,OCO,17
2025,Mexico City Grand Prix,OCO,2
2024,Mexico City Grand Prix,BOT,2
2025,Mexico City Grand Prix,ALB,10
2025,Mexico City Grand Prix,ALB,2
2025,Chinese Grand Prix,DOO,7
2025,Chinese Grand Prix,VER,1
2025,Chinese Grand Prix,DOO,1
2025,Chinese Grand Prix,LEC,7
2024,Canadian Grand Prix,SAR,4
2024,Canadian Grand Prix,STR,3
2024,Canadian Grand Prix,HAM,3
2024,Mexico City Grand Prix,RUS,8
2024,Mexico City Grand Prix,HUL,5
2024,Mexico City Grand Prix,HUL,8
2025,Australian Grand Prix,STR,3
2024,Australian Grand Prix,VER,11
2024,Australian Grand Prix,GAS,10
