year,gp,driver,sector_id,initial_SoC,converged,v_max_solved_ms,v_max_solved_kph,n_intervals_above_355kph,env_perm_err_W
2025,Singapore Grand Prix,OCO,4,0.8,True,93.01205935424498,334.84341367528197,0,
2025,Singapore Grand Prix,OCO,4,0.9,True,93.01080811452262,334.8389092122814,0,
2025,Singapore Grand Prix,OCO,4,1.0,True,92.98887348170454,334.75994453413637,0,
2025,Singapore Grand Prix,HAD,5,0.1,True,92.26061836717753,332.1382261218391,0,
2025,Singapore Grand Prix,HAD,5,0.2,True,95.98948597262286,345.5621495014423,0,
2025,Singapore Grand Prix,HAD,5,0.30000000000000004,True,97.78433884201841,352.0236198312663,0,
2025,Singapore Grand Prix,HAD,5,0.4,True,97.78405469043484,352.02259688556546,0,
2025,Singapore Grand Prix,HAD,5,0.5,True,97.78406777921538,352.0226440051754,0,
2025,Singapore Grand Prix,HAD,5,0.6,True,97.78333257039708,352.0199972534295,0,
2025,Singapore Grand Prix,HAD,5,0.7000000000000001,True,97.78408143132235,352.02269315276044,0,
2025,Singapore Grand Prix,HAD,5,0.8,True,97.78418524487329,352.02306688154385,0,
2025,Singapore Grand Prix,HAD,5,0.9,True,97.78329203454436,352.0198513243597,0,
2025,Singapore Grand Prix,HAD,5,1.0,True,97.7842263418441,352.0232148306388,0,
2025,Las Vegas Grand Prix,LEC,3,0.1,True,91.64654588694623,329.92756519300644,0,
2025,Las Vegas Grand Prix,LEC,3,0.2,True,93.00379929818668,334.81367747347207,0,
2025,Las Vegas Grand Prix,LEC,3,0.30000000000000004,True,94.89180696280711,341.6105050661056,0,
2025,Las Vegas Grand Prix,LEC,3,0.4,True,97.20560637868275,349.9401829632579,0,
2025,Las Vegas Grand Prix,LEC,3,0.5,True,98.68812779747587,355.27726007091314,6,2492.717724487354
2025,Las Vegas Grand Prix,LEC,3,0.6,True,98.68887679428403,355.2799564594225,6,2486.0484870724913
2025,Las Vegas Grand Prix,LEC,3,0.7000000000000001,True,98.6868191120153,355.27254880325506,5,1839.6071306115132
2025,Las Vegas Grand Prix,LEC,3,0.8,True,98.6892113629955,355.2811609067838,6,2483.00749442656
2025,Las Vegas Grand Prix,LEC,3,0.9,True,98.68925773686784,355.28132785272425,6,2482.5836337321007
2025,Las Vegas Grand Prix,LEC,3,1.0,True,98.68928771416502,355.28143577099405,6,2482.3128732235987
2025,Belgian Grand Prix,TSU,14,0.1,True,93.65116669287985,337.1442000943675,0,
2025,Belgian Grand Prix,TSU,14,0.2,True,95.33069789361049,343.19051241699776,0,
2025,Belgian Grand Prix,TSU,14,0.30000000000000004,True,97.38164793943176,350.57393258195435,0,
