rmse,mae,r2,n,nrmse,circuit,target,model
9.52808749609323,4.409818628140217,0.7820267622388379,6217,,Japanese Grand Prix,d_coast_optimal,twostage_ratio
39.93518381692601,10.78753172992762,0.5888118823315157,4100,,Las Vegas Grand Prix,d_coast_optimal,twostage_ratio
13.834402892818817,4.289721649084665,0.8855291138474716,3007,,Mexico City Grand Prix,d_coast_optimal,twostage_ratio
17.685099591233996,5.632276207125932,0.7435307064003062,5060,,Miami Grand Prix,d_coast_optimal,twostage_ratio
10.703683980470897,2.9526114308908933,0.876538526430598,4755,,Monaco Grand Prix,d_coast_optimal,twostage_ratio
5.533798188229732,2.790612432297956,0.9579005496365104,5999,,Qatar Grand Prix,d_coast_optimal,twostage_ratio
6.367861931159709,3.132383032057188,0.9333184188508599,7520,,Saudi Arabian Grand Prix,d_coast_optimal,twostage_ratio
11.215453870439605,4.484586133740006,0.9078270915455153,5330,,Singapore Grand Prix,d_coast_optimal,twostage_ratio
12.734635318199475,5.411140749236935,0.8622786237432192,4120,,Spanish Grand Prix,d_coast_optimal,twostage_ratio
10.849886796189953,3.8809455585607564,0.900251427576311,3568,,São Paulo Grand Prix,d_coast_optimal,twostage_ratio
16.269156582622422,5.31996704577844,0.7693632297405382,6576,,United States Grand Prix,d_coast_optimal,twostage_ratio
2.5388342875827896,1.197896880210974,0.9550119968496436,3270,0.056418539724061995,Abu Dhabi Grand Prix,d_X_optimal,xgb_tuned
0.5260236307777886,0.4173747455334633,0.993528875671604,2310,0.01168941401728419,Australian Grand Prix,d_X_optimal,xgb_tuned
0.46617304809462723,0.3316158041125787,0.9986600934910567,2399,0.010359401068769494,Austrian Grand Prix,d_X_optimal,xgb_tuned
1.2909434602940215,0.8491097315325482,0.9884062916258758,3975,0.028687632450978256,Azerbaijan Grand Prix,d_X_optimal,xgb_tuned
1.149155859127383,0.5803652392282298,0.9929629929953007,3198,0.025536796869497398,Bahrain Grand Prix,d_X_optimal,xgb_tuned
0.6616619975459328,0.4285392503924318,0.9960506802687809,4228,0.014703599945465173,Belgian Grand Prix,d_X_optimal,xgb_tuned
0.7747375401906894,0.4994311367214197,0.9843840617156038,2835,0.01721638978201532,British Grand Prix,d_X_optimal,xgb_tuned
0.9490997854550548,0.5554738820124228,0.9929056028715049,2797,0.021091106343445663,Canadian Grand Prix,d_X_optimal,xgb_tuned
2.287655978470263,1.1157882349898998,0.9748877384993767,3707,0.0508367995215614,Chinese Grand Prix,d_X_optimal,xgb_tuned
0.3779426596708645,0.2549841448175303,0.9986783019550545,2840,0.008398725770463656,Dutch Grand Prix,d_X_optimal,xgb_tuned
0.6996327447061441,0.5000223753817767,0.9935914455317226,3899,0.015547394326803203,Emilia Romagna Grand Prix,d_X_optimal,xgb_tuned
0.23039280504376808,0.17764666473522522,0.9993644400586336,3480,0.005119840112083735,Hungarian Grand Prix,d_X_optimal,xgb_tuned
1.013495160150054,0.45378733698191626,0.9909053204895644,2395,0.0225221146700012,Italian Grand Prix,d_X_optimal,xgb_tuned
0.6366098902682805,0.45714566072197743,0.996974117807407,3037,0.014146886450406234,Japanese Grand Prix,d_X_optimal,xgb_tuned
1.2656049598615875,0.8168930190251918,0.990287173322306,3760,0.028124554663590835,Las Vegas Grand Prix,d_X_optimal,xgb_tuned
0.7009885305619978,0.4801497333741336,0.9971377583915381,2667,0.01557752290137773,Mexico City Grand Prix,d_X_optimal,xgb_tuned
2.0633198722373614,1.054665667891591,0.967610603275172,2720,0.04585155271638581,Miami Grand Prix,d_X_optimal,xgb_tuned
1.1545832113675933,0.6927804180973453,0.994756113474388,3875,0.02565740469705763,Monaco Grand Prix,d_X_optimal,xgb_tuned
0.3067096545473101,0.20356892103156693,0.9984595433416737,3599,0.006815770101051335,Qatar Grand Prix,d_X_optimal,xgb_tuned
0.2485303472695699,0.19242534779653675,0.9835655485699787,3300,0.005522896605990442,Saudi Arabian Grand Prix,d_X_optimal,xgb_tuned
0.7260313307508205,0.47007045419471133,0.9967590698196067,4430,0.016134029572240454,Singapore Grand Prix,d_X_optimal,xgb_tuned
0.36072661086701563,0.24239080608561614,0.9969347269084579,3770,0.008016146908155903,Spanish Grand Prix,d_X_optimal,xgb_tuned
0.6082569496890221,0.30180162218820694,0.9975342336003853,2848,0.013516821104200492,São Paulo Grand Prix,d_X_optimal,xgb_tuned
1.6635645543848279,0.7648027637100562,0.9874926838634032,3578,0.03696810120855173,United States Grand Prix,d_X_optimal,xgb_tuned
