rmse,mae,r2,n,nrmse,circuit,target,model,pooled_r2
17.416703633628966,8.09747371243271,0.7356797761968975,6576,,United States Grand Prix,d_coast_optimal,xgb,0.6970557036662698
8.752151450295631,3.4792325533618604,0.9372864999046627,5250,,Abu Dhabi Grand Prix,d_coast_optimal,mlp,0.8818417627750866
18.697875256895657,6.810927800199584,0.9060337031522209,3719,,Australian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
7.690281215473769,3.572586304542177,0.9322146965052838,3599,,Austrian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
19.417947631960587,5.305505090220505,0.7861327034014941,5633,,Azerbaijan Grand Prix,d_coast_optimal,mlp,0.8818417627750866
10.699951813465841,4.6383137423038825,0.92547235984052,3828,,Bahrain Grand Prix,d_coast_optimal,mlp,0.8818417627750866
25.247689870751223,8.379210348720052,0.8432565059727587,5858,,Belgian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
5.969018186418958,3.109627641348421,0.9470700714284159,5075,,British Grand Prix,d_coast_optimal,mlp,0.8818417627750866
13.757922930126732,5.264798257745236,0.9103072712435568,2797,,Canadian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
18.52024810816214,5.542807355811301,0.8857859188973383,4527,,Chinese Grand Prix,d_coast_optimal,mlp,0.8818417627750866
9.682213097516081,3.1597390591716645,0.9032754376169778,4560,,Dutch Grand Prix,d_coast_optimal,mlp,0.8818417627750866
8.972497014493404,4.064679832223353,0.9021724403791823,5098,,Emilia Romagna Grand Prix,d_coast_optimal,mlp,0.8818417627750866
10.997358685247177,4.857042237688718,0.8943009744250676,5240,,Hungarian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
17.693726118498002,7.876223407917505,0.7104324081898314,2795,,Italian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
8.269218950066335,4.224769750547149,0.8358198362679494,6217,,Japanese Grand Prix,d_coast_optimal,mlp,0.8818417627750866
27.40893893348642,7.562166763909983,0.8063071331920935,4100,,Las Vegas Grand Prix,d_coast_optimal,mlp,0.8818417627750866
7.722593243310507,3.1282168172544136,0.964330212037225,3007,,Mexico City Grand Prix,d_coast_optimal,mlp,0.8818417627750866
13.523545525515406,4.7526116526613755,0.8500310016900777,5060,,Miami Grand Prix,d_coast_optimal,mlp,0.8818417627750866
11.624052816369248,3.6327890982557305,0.8543937393835245,4755,,Monaco Grand Prix,d_coast_optimal,mlp,0.8818417627750866
4.923680288036764,2.2810478808978902,0.9666719823960223,5999,,Qatar Grand Prix,d_coast_optimal,mlp,0.8818417627750866
6.19313551246958,2.7773501135743377,0.9369275387916425,7520,,Saudi Arabian Grand Prix,d_coast_optimal,mlp,0.8818417627750866
