rmse,mae,r2,n,nrmse,circuit,target,model,feature_set
5714.7267595336825,3941.5377537511354,0.96993450704626,5240,0.01632779074152481,Hungarian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
12684.739017325912,7730.104325130845,0.98026885833454,2795,0.03624211147807403,Italian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
8546.186622309508,5523.037731730634,0.9823851968200683,6215,0.02441767606374145,Japanese Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
11618.54826796459,8076.03776715287,0.9804900135353457,4099,0.03319585219418454,Las Vegas Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
6204.299613976083,4475.077101080711,0.9783420773603099,3007,0.01772657032564595,Mexico City Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
11880.113277708633,6764.151473050403,0.977350233976086,5059,0.03394318079345324,Miami Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
7370.555669167274,5186.356807467672,0.9738396503782921,4755,0.021058730483335068,Monaco Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
6528.875242626059,4877.047714319123,0.9830356935560263,5999,0.01865392926464588,Qatar Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
14489.525404735188,8344.838223916257,0.9715916408745208,7520,0.04139864401352911,Saudi Arabian Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
9121.40482744215,5773.76380083782,0.9665340107183567,5328,0.026061156649834712,Singapore Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
7904.434902677224,5122.04786267124,0.9803433408941391,4120,0.022584099721934925,Spanish Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
7768.081168757691,4646.926868012844,0.9796391468026412,3568,0.022194517625021972,São Paulo Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
8738.587243207616,5325.78900546294,0.9641101137438423,6575,0.02496739212345033,United States Grand Prix,P_deploy_mean_optimal,xgb_geometry_only,geometry_only
13.310455850498302,5.3214539984681135,0.8549501614192099,5250,,Abu Dhabi Grand Prix,d_coast_optimal,xgb_full,full
25.2185979497878,11.087681735377013,0.8290656000893208,3719,,Australian Grand Prix,d_coast_optimal,xgb_full,full
15.035787471911922,5.499452163008732,0.7408784939172499,3599,,Austrian Grand Prix,d_coast_optimal,xgb_full,full
21.17993579219767,6.790116787567871,0.7455590507684474,5633,,Azerbaijan Grand Prix,d_coast_optimal,xgb_full,full
13.81819332928912,6.4938283199127795,0.8757042568287137,3828,,Bahrain Grand Prix,d_coast_optimal,xgb_full,full
28.866770126322937,10.567003535684801,0.7950996890938309,5858,,Belgian Grand Prix,d_coast_optimal,xgb_full,full
8.233078642936,3.9867239481959564,0.8991171460325718,5085,,British Grand Prix,d_coast_optimal,xgb_full,full
24.782687925198847,11.31816320991816,0.7089629306332186,2797,,Canadian Grand Prix,d_coast_optimal,xgb_full,full
23.826451772514975,7.892135240990508,0.8109638805513553,4527,,Chinese Grand Prix,d_coast_optimal,xgb_full,full
12.237815192947219,4.425963102657672,0.8454762351894551,4560,,Dutch Grand Prix,d_coast_optimal,xgb_full,full
11.513096278117683,5.1682504937176175,0.8389284463463632,5098,,Emilia Romagna Grand Prix,d_coast_optimal,xgb_full,full
11.148570909527079,4.8677628224271,0.8913742959047068,5240,,Hungarian Grand Prix,d_coast_optimal,xgb_full,full
24.635569729088225,14.436008246381444,0.4386463201295081,2795,,Italian Grand Prix,d_coast_optimal,xgb_full,full
9.343567850188393,4.55878082595167,0.790387494401307,6217,,Japanese Grand Prix,d_coast_optimal,xgb_full,full
37.7339829905734,10.413705380507816,0.6328914670241579,4100,,Las Vegas Grand Prix,d_coast_optimal,xgb_full,full
14.161913632929341,4.399705799368552,0.880045073419593,3007,,Mexico City Grand Prix,d_coast_optimal,xgb_full,full
17.64775430227969,5.6864985292685795,0.7446127254268062,5060,,Miami Grand Prix,d_coast_optimal,xgb_full,full
10.197489114315895,2.892822242444988,0.8879397981906044,4755,,Monaco Grand Prix,d_coast_optimal,xgb_full,full
5.648615492598417,2.9756842583624072,0.9561354359065309,5999,,Qatar Grand Prix,d_coast_optimal,xgb_full,full
6.660732760356039,3.1822234711077333,0.9270437284379559,7520,,Saudi Arabian Grand Prix,d_coast_optimal,xgb_full,full
11.5983311499857,4.54213946008751,0.9014264055080846,5330,,Singapore Grand Prix,d_coast_optimal,xgb_full,full
12.70875128230032,5.476789113778687,0.8628379114056941,4120,,Spanish Grand Prix,d_coast_optimal,xgb_full,full
10.78169486579426,4.180906590976874,0.9015013341011249,3568,,São Paulo Grand Prix,d_coast_optimal,xgb_full,full
16.226351901812098,5.4612276840991125,0.7705752589036667,6576,,United States Grand Prix,d_coast_optimal,xgb_full,full
15.731791288565036,6.545063967138789,0.7973774654910849,5250,,Abu Dhabi Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
25.28652159147314,11.474377084493153,0.828143572404261,3719,,Australian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
15.622162663326373,5.766544870440401,0.7202736274837145,3599,,Austrian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
22.38107295148553,8.302757072504482,0.7158814861180652,5633,,Azerbaijan Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
16.08076861426955,8.010017590967447,0.8316677485846788,3828,,Bahrain Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
32.305756799946835,11.769095219615886,0.7433708009997937,5858,,Belgian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
9.302479297933836,4.935580996446566,0.8712075939462556,5085,,British Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
24.663035500392844,11.94309340739733,0.7117664381953538,2797,,Canadian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
25.08080494168636,9.099835633154806,0.7905361940703934,4527,,Chinese Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
15.002395945712593,6.246946599399855,0.767775120474913,4560,,Dutch Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
12.564119131854325,6.095696999945154,0.8081778889283406,5098,,Emilia Romagna Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
12.159936135290344,5.578325659178913,0.8707719498570756,5240,,Hungarian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
24.24979955176037,14.207125049668324,0.45608922869000024,2795,,Italian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
9.820812628207362,5.186380148730617,0.7684277302436284,6217,,Japanese Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
37.613097277143474,11.277308206075679,0.6352398589922379,4100,,Las Vegas Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
13.900515219244333,5.163439171422626,0.8844324247297985,3007,,Mexico City Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
16.0563976721097,5.7713465702680615,0.7885943511292695,5060,,Miami Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
12.063316526984886,3.5589706120838254,0.8431811205922733,4755,,Monaco Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
6.474330462200745,3.9338064146272202,0.9423738616040223,5999,,Qatar Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
7.328466811748774,3.6980465474658955,0.9116828871405388,7520,,Saudi Arabian Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
12.234749321935793,5.116675902965415,0.8903118439418346,5330,,Singapore Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
16.530789915900115,7.778020717449256,0.7679318489881558,4120,,Spanish Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
10.985958241287724,4.128822155281412,0.8977337896302215,3568,,São Paulo Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
17.58450707391354,6.505135511016156,0.7305619869537628,6576,,United States Grand Prix,d_coast_optimal,xgb_geometry_only,geometry_only
3.002881670819062,1.2231496196030995,0.9370632307850797,3270,0.06673070379597916,Abu Dhabi Grand Prix,d_X_optimal,xgb_full,full
0.7098743765252505,0.48881212452426587,0.988214928132927,2310,0.015774986145005568,Australian Grand Prix,d_X_optimal,xgb_full,full
0.8555923763739176,0.5066820741783298,0.9954864943849524,2399,0.01901316391942039,Austrian Grand Prix,d_X_optimal,xgb_full,full
1.9518708758732861,1.2752570462100987,0.973496080956991,3975,0.04337490835273969,Azerbaijan Grand Prix,d_X_optimal,xgb_full,full
0.8261967899582564,0.4996692704288392,0.9963625492782247,3198,0.01835992866573903,Bahrain Grand Prix,d_X_optimal,xgb_full,full
0.7884407514879512,0.5546370849471332,0.9943922578255668,4228,0.017520905588621138,Belgian Grand Prix,d_X_optimal,xgb_full,full
0.5341624095827409,0.35514576469924325,0.9925551501402379,2845,0.011870275768505353,British Grand Prix,d_X_optimal,xgb_full,full
0.9517649843627856,0.4874949962424369,0.9928657028992713,2797,0.021150332985839678,Canadian Grand Prix,d_X_optimal,xgb_full,full
2.0545789491257054,1.0411444183774472,0.9797441690836277,3707,0.04565730998057123,Chinese Grand Prix,d_X_optimal,xgb_full,full
1.0887842853442753,0.6577154551569968,0.9890310740254729,2840,0.024195206340983894,Dutch Grand Prix,d_X_optimal,xgb_full,full
0.4136918332697183,0.26327282845133626,0.9977593515630182,3899,0.009193151850438185,Emilia Romagna Grand Prix,d_X_optimal,xgb_full,full
0.437756846377976,0.3126589899444514,0.9977055183664346,3480,0.009727929919510579,Hungarian Grand Prix,d_X_optimal,xgb_full,full
1.0267708624165088,0.4309545852909776,0.9906654988640349,2395,0.02281713027592242,Italian Grand Prix,d_X_optimal,xgb_full,full
0.6846944650768009,0.47608496263085803,0.9964997514298534,3037,0.01521543255726224,Japanese Grand Prix,d_X_optimal,xgb_full,full
0.9632448113442923,0.5782623359313807,0.994373702930281,3760,0.021405440252095384,Las Vegas Grand Prix,d_X_optimal,xgb_full,full
1.0438540122396271,0.7034576638764147,0.9936530657973576,2667,0.02319675582754727,Mexico City Grand Prix,d_X_optimal,xgb_full,full
2.22130980929568,1.256089492665856,0.962460541301446,2720,0.049362440206570664,Miami Grand Prix,d_X_optimal,xgb_full,full
1.067305379472924,0.610350651391945,0.9955189457098511,3875,0.02371789732162053,Monaco Grand Prix,d_X_optimal,xgb_full,full
0.2362307286315101,0.175045759897925,0.99908616588073,3599,0.005249571747366891,Qatar Grand Prix,d_X_optimal,xgb_full,full
0.3711003364480315,0.2832017381707316,0.9633580097271515,3300,0.008246674143289588,Saudi Arabian Grand Prix,d_X_optimal,xgb_full,full
